respondent_id,submitted_date,department,region,role,product,service_category,satisfaction_rating,ease_of_use_rating,nps_score,main_feedback,improvement_feedback
1,2026-06-01,Support,North,Manager,SurveyIQ,Onboarding,5,5,9,"The onboarding walkthrough was clear and helped my team get started quickly.","Add a shorter checklist for managers who already know the workflow."
2,2026-06-02,Sales,South,Contributor,SurveyIQ,Reporting,4,4,8,"The PDF report looked professional and was easy to share with leadership.","Let me rename sections before downloading the report."
3,2026-06-03,Product,West,Director,SurveyIQ,Analysis,3,3,6,"Theme detection found useful patterns but a few labels felt too broad.","Give users a simple way to merge or rename themes."
4,2026-06-04,Operations,East,Contributor,SurveyIQ,Upload,2,3,4,"The upload worked but the column names were hard to understand in the preview.","Suggest likely feedback columns automatically."
5,2026-06-05,HR,North,Manager,SurveyIQ,Analysis,5,4,9,"Sentiment summaries made employee feedback much easier to explain.","Show low-confidence responses in a separate review list."
6,2026-06-06,Support,South,Contributor,SurveyIQ,Support,2,2,3,"I waited too long for help when analysis failed.","Provide clearer retry steps and a support-friendly error code."
7,2026-06-07,Sales,West,Director,SurveyIQ,Pricing,3,4,5,"The value is clear but pricing guidance is not visible enough.","Add plan examples for small teams and departments."
8,2026-06-08,Product,East,Manager,SurveyIQ,Dashboard,4,4,8,"The dashboard summary helped me see the main issues quickly.","Add trend lines when multiple surveys are available."
9,2026-06-09,Operations,North,Contributor,SurveyIQ,Export,5,5,10,"CSV export saved a lot of manual spreadsheet work.","Include the source column name when multiple comments are analysed."
10,2026-06-10,HR,South,Director,SurveyIQ,Reporting,4,3,7,"The executive summary was concise and useful for our leadership meeting.","Add a section that compares departments."
11,2026-06-11,Support,West,Manager,SurveyIQ,Onboarding,3,3,6,"Setup was fine but the first screen could explain the workflow better.","Show upload, analyse, review, and report as simple steps."
12,2026-06-12,Sales,East,Contributor,SurveyIQ,Analysis,2,2,3,"Some sentiment labels did not match the tone of mixed comments.","Explain why the AI chose a sentiment label."
13,2026-06-13,Product,North,Director,SurveyIQ,Dashboard,5,4,9,"Top themes were easy to scan and helped prioritize product fixes.","Let me filter themes by product area."
14,2026-06-14,Operations,South,Manager,SurveyIQ,Upload,4,4,8,"Excel upload worked smoothly for our survey export.","Show file size guidance before upload."
15,2026-06-15,HR,West,Contributor,SurveyIQ,Reporting,3,3,6,"The report was useful but some charts needed clearer labels.","Add text summaries next to each chart."
16,2026-06-16,Support,East,Director,SurveyIQ,Support,1,2,2,"The error message was too technical when the API request failed.","Use plain language and say whether the user should retry."
17,2026-06-17,Sales,North,Manager,SurveyIQ,Pricing,4,4,7,"The platform saves time compared with manual coding.","Show estimated time saved after each analysis."
18,2026-06-18,Product,South,Contributor,SurveyIQ,Analysis,5,5,9,"The AI grouped similar comments better than expected.","Show example responses underneath each theme."
19,2026-06-19,Operations,West,Director,SurveyIQ,Export,4,5,8,"The analysed CSV had the fields we needed for audit.","Add a report metadata sheet or section later."
20,2026-06-20,HR,East,Manager,SurveyIQ,Dashboard,2,3,4,"The dashboard did not make negative drivers obvious enough.","Highlight the biggest risks at the top."
21,2026-06-21,Support,North,Contributor,SurveyIQ,Onboarding,5,4,9,"The sample data helped me understand what the product does.","Offer industry-specific sample files in the future."
22,2026-06-22,Sales,South,Director,SurveyIQ,Reporting,4,4,8,"The PDF report format felt credible with executives.","Allow adding a custom report title."
23,2026-06-23,Product,West,Manager,SurveyIQ,Analysis,3,3,6,"The themes were mostly right but missed a few product-specific details.","Support custom taxonomy for recurring product categories."
24,2026-06-24,Operations,East,Contributor,SurveyIQ,Upload,2,2,4,"The spreadsheet preview was cramped on my laptop.","Improve horizontal scrolling and column sizing."
25,2026-06-25,HR,North,Director,SurveyIQ,Analysis,5,5,10,"The sentiment split gave us a strong view of employee concerns.","Compare sentiment across departments."
26,2026-06-26,Support,South,Manager,SurveyIQ,Support,2,3,3,"The retry process was unclear after a partial failure.","Show which stage failed and what was saved."
27,2026-06-27,Sales,West,Contributor,SurveyIQ,Pricing,3,4,6,"I understood the product value but not the future plan limits.","Explain usage limits in simple terms."
28,2026-06-28,Product,East,Director,SurveyIQ,Dashboard,4,4,8,"The results page made the executive summary easy to find.","Add a shortcut from summary to the underlying responses."
29,2026-06-29,Operations,North,Manager,SurveyIQ,Export,5,5,9,"Downloading results was fast and reliable.","Keep CSV export available even as reports improve."
30,2026-06-30,HR,South,Contributor,SurveyIQ,Reporting,4,3,7,"The management report was helpful for our quarterly review.","Add appendix detail for analysts."
31,2026-07-01,Support,West,Director,SurveyIQ,Onboarding,3,3,5,"The product was useful but onboarding asked me to infer too much.","Add more guidance around feedback column selection."
32,2026-07-02,Sales,East,Manager,SurveyIQ,Analysis,2,2,4,"The AI overgeneralized several comments about pricing and service.","Separate pricing issues from service quality issues."
33,2026-07-03,Product,North,Contributor,SurveyIQ,Dashboard,5,4,9,"The theme distribution chart made patterns obvious.","Add a downloadable chart image later."
34,2026-07-04,Operations,South,Director,SurveyIQ,Upload,4,4,8,"The system handled our Excel file without manual cleanup.","Detect date and segment columns automatically."
35,2026-07-05,HR,West,Manager,SurveyIQ,Reporting,3,3,6,"The PDF was good but needed more segment insight.","Include sentiment by department where available."
36,2026-07-06,Support,East,Contributor,SurveyIQ,Support,1,2,2,"I did not know if the failed analysis used any credits.","Explain failed analysis impact more clearly."
37,2026-07-07,Sales,North,Director,SurveyIQ,Pricing,4,4,7,"The analysis output would help us justify renewal conversations.","Add customer-facing examples for account teams."
38,2026-07-08,Product,South,Manager,SurveyIQ,Analysis,5,5,10,"The recommendations were practical and tied to real comments.","Rank recommended actions by urgency."
39,2026-07-09,Operations,West,Contributor,SurveyIQ,Export,4,5,8,"The CSV was easy to join back to our original export.","Include source row index for every analysed response."
40,2026-07-10,HR,East,Director,SurveyIQ,Dashboard,2,3,4,"The dashboard needs clearer separation between themes and actions.","Use stronger section headings in results."
41,2026-07-11,Support,North,Manager,SurveyIQ,Onboarding,5,4,9,"The guided flow reduced confusion for first-time users.","Add a progress indicator to the analysis wizard."
42,2026-07-12,Sales,South,Contributor,SurveyIQ,Reporting,4,4,8,"The report summary was concise enough for a sales leader.","Add a one-page executive version."
43,2026-07-13,Product,West,Director,SurveyIQ,Analysis,3,3,6,"The AI identified usability issues but missed some workflow nuance.","Allow analysts to review low-confidence responses."
44,2026-07-14,Operations,East,Manager,SurveyIQ,Upload,2,2,4,"The preview did not flag empty cells in the comments column.","Warn when selected feedback columns have missing values."
45,2026-07-15,HR,North,Contributor,SurveyIQ,Analysis,5,5,9,"The tool made employee themes much faster to summarize.","Let us compare sentiment by role."
46,2026-07-16,Support,South,Director,SurveyIQ,Support,2,3,3,"Support documentation for errors is still too thin.","Link errors to troubleshooting notes."
47,2026-07-17,Sales,West,Manager,SurveyIQ,Pricing,3,4,6,"Pricing questions came up often in our feedback.","Separate commercial concerns from product experience."
48,2026-07-18,Product,East,Contributor,SurveyIQ,Dashboard,4,4,8,"I liked seeing summary, charts, and response details together.","Add filters for sentiment and theme."
49,2026-07-19,Operations,North,Director,SurveyIQ,Export,5,5,10,"The export flow was dependable and easy to explain.","Add scheduled export later."
50,2026-07-20,HR,South,Manager,SurveyIQ,Reporting,4,3,7,"The report helped us brief managers quickly.","Add department comparisons to the PDF."
51,2026-07-21,Support,West,Contributor,SurveyIQ,Onboarding,3,3,5,"The first run was successful but I wanted more examples.","Include sample templates for different survey types."
52,2026-07-22,Sales,East,Director,SurveyIQ,Analysis,2,2,4,"The analysis mixed support complaints with sales process feedback.","Preserve source column and category context in results."
53,2026-07-23,Product,North,Manager,SurveyIQ,Dashboard,5,4,9,"The main theme cards were easy to understand.","Add card-based theme review."
54,2026-07-24,Operations,South,Contributor,SurveyIQ,Upload,4,4,8,"CSV and Excel support covered our main workflows.","Add validation for very large files."
55,2026-07-25,HR,West,Director,SurveyIQ,Reporting,3,3,6,"The report needed stronger risk prioritization.","Rank risks by frequency and sentiment."
56,2026-07-26,Support,East,Manager,SurveyIQ,Support,1,2,2,"The failure screen did not tell me what to do next.","Provide one clear primary recovery action."
57,2026-07-27,Sales,North,Contributor,SurveyIQ,Pricing,4,4,7,"The product would save our team several hours per survey.","Show a time-saved estimate in reports."
58,2026-07-28,Product,South,Director,SurveyIQ,Analysis,5,5,10,"The themes and recommendations were aligned with what we heard in interviews.","Allow adding analyst notes before final report."
59,2026-07-29,Operations,West,Manager,SurveyIQ,Export,4,5,8,"The analysed CSV made follow-up analysis straightforward.","Add segment columns to exported results later."
60,2026-07-30,HR,East,Contributor,SurveyIQ,Dashboard,2,3,4,"The dashboard felt less useful before multiple projects exist.","Show an action-first empty state."
61,2026-07-31,Support,North,Director,SurveyIQ,Onboarding,5,4,9,"Onboarding felt professional and not overloaded.","Add optional advanced setup for experienced analysts."
62,2026-08-01,Sales,South,Manager,SurveyIQ,Reporting,4,4,8,"The PDF report was ready to share with minimal editing.","Add company logo support later."
63,2026-08-02,Product,West,Contributor,SurveyIQ,Analysis,3,3,6,"Some product feedback belonged in separate subthemes.","Support theme splitting in review."
64,2026-08-03,Operations,East,Director,SurveyIQ,Upload,2,2,4,"The app should detect when the wrong column is selected.","Suggest qualitative columns from the data profile."
65,2026-08-04,HR,North,Manager,SurveyIQ,Analysis,5,5,9,"Sentiment by department would make the insights more actionable.","Add segment-level sentiment in reports."
66,2026-08-05,Support,South,Contributor,SurveyIQ,Support,2,3,3,"The troubleshooting notes need to be closer to the error.","Show relevant help content in the failed analysis state."
67,2026-08-06,Sales,West,Director,SurveyIQ,Pricing,3,4,6,"We need clearer packaging before buying for the full team.","Add pricing FAQs when commercial plans are ready."
68,2026-08-07,Product,East,Manager,SurveyIQ,Dashboard,4,4,8,"The insight hierarchy made the page easy to scan.","Keep executive summary above detailed tables."
69,2026-08-08,Operations,North,Contributor,SurveyIQ,Export,5,5,10,"The source row index would help audit results.","Include source row index in multi-column exports."
70,2026-08-09,HR,South,Director,SurveyIQ,Reporting,4,3,7,"The report conclusions were useful but could mention rating scores.","Combine quantitative ratings with qualitative feedback."
71,2026-08-10,Support,West,Manager,SurveyIQ,Onboarding,3,3,5,"The workflow is understandable after the first run.","Add tooltips for unfamiliar terms."
72,2026-08-11,Sales,East,Contributor,SurveyIQ,Analysis,2,2,4,"The output needs to preserve which question each comment came from.","Include the source feedback column in every result."
73,2026-08-12,Product,North,Director,SurveyIQ,Dashboard,5,4,9,"Charts and theme lists worked well together.","Add heatmaps later for segment comparisons."
74,2026-08-13,Operations,South,Manager,SurveyIQ,Upload,4,4,8,"The file guidance was clear enough for analysts.","Add sample template links."
75,2026-08-14,HR,West,Contributor,SurveyIQ,Reporting,3,3,6,"The report would be stronger with positive and negative examples.","Show representative comments for each highlight."
76,2026-08-15,Support,East,Director,SurveyIQ,Support,1,2,2,"The app did not explain whether retrying would duplicate work.","Make retry behavior explicit."
77,2026-08-16,Sales,North,Manager,SurveyIQ,Pricing,4,4,7,"The insights are valuable for customer success reviews.","Add account-level report examples later."
78,2026-08-17,Product,South,Contributor,SurveyIQ,Analysis,5,5,10,"The recommended actions were specific enough to assign to teams.","Add owners and due dates in a future workflow."
79,2026-08-18,Operations,West,Director,SurveyIQ,Export,4,5,8,"The export format was clean and spreadsheet-friendly.","Keep column names stable across releases."
80,2026-08-19,HR,East,Manager,SurveyIQ,Dashboard,2,3,4,"The dashboard needs more context for segment differences.","Show notable differences across departments."
81,2026-08-20,Support,North,Contributor,SurveyIQ,Onboarding,5,4,9,"The upload-to-report flow was simple to follow.","Add a saved checklist for repeat users."
82,2026-08-21,Sales,South,Director,SurveyIQ,Reporting,4,4,8,"Reports made survey findings easier to communicate.","Add scheduled reports later."
83,2026-08-22,Product,West,Manager,SurveyIQ,Analysis,3,3,6,"The AI should understand multiple open-text questions together.","Analyse multiple feedback columns in one run."
84,2026-08-23,Operations,East,Contributor,SurveyIQ,Upload,2,2,4,"I wanted to know which columns were dates, ratings, and segments.","Show a column profile summary after upload."
85,2026-08-24,HR,North,Director,SurveyIQ,Analysis,5,5,9,"The employee feedback summary was leadership-ready.","Add segment comparison for region and department."
86,2026-08-25,Support,South,Manager,SurveyIQ,Support,2,3,3,"The support path after an error was not visible enough.","Add a clear contact or help option."
87,2026-08-26,Sales,West,Contributor,SurveyIQ,Pricing,3,4,6,"The value proposition is strong but packaging is unclear.","Explain what is included in each plan later."
88,2026-08-27,Product,East,Director,SurveyIQ,Dashboard,4,4,8,"The page layout felt professional and organized.","Keep the enterprise analytics style."
89,2026-08-28,Operations,North,Manager,SurveyIQ,Export,5,5,10,"The CSV worked well for audit and follow-up analysis.","Add original segment columns to export in a future release."
90,2026-08-29,HR,South,Contributor,SurveyIQ,Reporting,4,3,7,"The report was concise but could explain the dataset more.","Add dataset overview and column profile sections."
91,2026-08-30,Support,West,Director,SurveyIQ,Onboarding,3,3,5,"The product still needs better guidance for first-time analysts.","Suggest the best feedback columns automatically."
92,2026-08-31,Sales,East,Manager,SurveyIQ,Analysis,2,2,4,"Some recommendations were too general for sales feedback.","Use segment and rating context in recommendations."
93,2026-09-01,Product,North,Contributor,SurveyIQ,Dashboard,5,4,9,"The visual hierarchy helped me trust the outputs.","Keep charts simple and labelled."
94,2026-09-02,Operations,South,Director,SurveyIQ,Upload,4,4,8,"Upload and preview worked reliably with our export.","Add data quality warnings later."
95,2026-09-03,HR,West,Manager,SurveyIQ,Reporting,3,3,6,"The report needs a clearer split between risks and actions.","Keep risks separate from recommendations."
96,2026-09-04,Support,East,Contributor,SurveyIQ,Support,1,2,2,"The error recovery experience needs more polish.","Provide partial recovery when a batch fails."
97,2026-09-05,Sales,North,Director,SurveyIQ,Pricing,4,4,7,"The platform could support customer renewal planning.","Add benchmarking in a future enterprise phase."
98,2026-09-06,Product,South,Manager,SurveyIQ,Analysis,5,5,10,"The analysis gave us themes we could act on immediately.","Add exportable action lists in the future."
99,2026-09-07,Operations,West,Contributor,SurveyIQ,Export,4,5,8,"Exported results were easy to validate against the source data.","Preserve source row and feedback column in the CSV."
100,2026-09-08,HR,East,Director,SurveyIQ,Dashboard,2,3,4,"The dashboard should compare sentiment across teams and regions.","Add lightweight cross-analysis highlights."
